jSD05fFrAFa5gX3ZQae1tw,Restaurant:Shopping:Health & Wellness,36.22552872,-115.2799835
oagZh5A2cWJXZBLakS_KpQ,Home Finishings:Health & Wellness:Shopping,36.018286,-115.1179043
6BSwuyc7fvcccJgrY4_W5Q,Health & Wellness:Restaurant,36.0357492,-115.1533426
9rbW5UzIi9xe377XM47blg,Home Finishings:Shopping-Sports:Restaurant-Pub,36.052802,-115.171496
T26CcJEltsFYSve-awMHig,Shopping-Women's:Health & Wellness,36.1441871,-115.2726746
inEX2NEawFox3zAYNooL1w,Shopping:Home Finishings:Restaurant-Burgers,36.2617683,-115.19221
kP6vvRcQEnKef4hY8Kz44Q,Health & Wellness:Shopping-Sports,36.013024,-115.126224
vfcWWF2jTLR9Ft0yUbpGow,Restaurant-Coffe:Restaurants-Hotels:Restaurant-Desserts:Restaurants-Pubs,36.2534463,-115.1539988
HXWvlxAe4LaPUREXOP5pgw,Home Finishings:Restaurants-French:Restaurant-Bakery,36.0844482,-115.2421295
eflyw4b6JLXcdt8i3EV6sw,Home Finishings:Health & Wellness,36.23934091,-115.2070557
